full_original_html,original_row_id,marked_for_review,remarks,allen_issue,gpt_issue,labelled_html,full_error_html,List_of_names,processed_html
"<div style=""text-align:justify"">The force of attraction between two coaxial dielectric dipoles whose centers are r meters apart varies with distance as:-</div>
<br/><br/><br/>r<sup>–1</sup><br/>r<sup>–2</sup><br/>r<sup>–3</sup><br/>r<sup>–4</sup>",2559,0,,False,False,"<div style=""text-align:justify"">The force of attraction between two coaxial dielectric dipoles whose centers are [EXP]r meters [/EXP]apart varies with distance as:-</div>
<br/><br/><br/>[EXP]r<sup>–1</sup>[/EXP]<br/>[EXP]r<sup>–2</sup>[/EXP]<br/>[EXP]r<sup>–3</sup>[/EXP]<br/>[EXP]r<sup>–4</sup>[/EXP]","<div style=""text-align:justify"">The force of attraction between two coaxial dielectric dipoles whose centers are [EXP]r meters [/EXP]apart varies with distance as:-</div>
<br/><br/><br/>[EXP]r<sup>–1</sup>[/EXP]<br/>[EXP]r<sup>–2</sup>[/EXP]<br/>[EXP]r<sup>–3</sup>[/EXP]<br/>[EXP]r<sup>–4</sup>[/EXP]","[""dielectric dipoles""]","<div style=""text-align:justify"">The force of attraction between two coaxial [NAME]dielectric dipoles[/NAME] whose centers are [EXP]r meters [/EXP]apart varies with distance as:-</div>
<br/><br/><br/>[EXP]r<sup>–1</sup>[/EXP]<br/>[EXP]r<sup>–2</sup>[/EXP]<br/>[EXP]r<sup>–3</sup>[/EXP]<br/>[EXP]r<sup>–4</sup>[/EXP]"
"<div style=""text-align:justify"">The moment of inertia of a hollow thick spherical shell of mass M and its inner radius R<sub>1</sub> and outer radius R<sub>2</sub> about diameter is :</div>
<br/><br/><br/><img alt=""\frac{{2M}}{5}\frac{{\left( {R_2^5 - R_1^5} \right)}}{{\left( {R_2^3 - R_1^3} \right)}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15101169251660471258.png""/><br/><img alt=""\frac{{2M}}{3}\frac{{\left( {R_2^5 - R_1^5} \right)}}{{\left( {R_2^3 - R_1^3} \right)}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15101169341661745123.png""/><br/><img alt=""\frac{{4M}}{5}\frac{{\left( {R_2^5 - R_1^5} \right)}}{{\left( {R_2^3 - R_1^3} \right)}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15101169401314448420.png""/><br/><img alt=""\frac{{4M}}{3}\frac{{\left( {R_2^5 - R_1^5} \right)}}{{\left( {R_2^3 - R_1^3} \right)}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510116945519104101.png""/>",1448,0,,False,False,"<div style=""text-align:justify"">The moment of inertia of a hollow thick spherical shell of mass [EXP]M[/EXP] and its inner radius [EXP]R<sub>1</sub>[/EXP] and outer radius [EXP]R<sub>2</sub>[/EXP] about diameter is :</div>
<br/><br/><br/><img alt=""\frac{{2M}}{5}\frac{{\left( {R_2^5 - R_1^5} \right)}}{{\left( {R_2^3 - R_1^3} \right)}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15101169251660471258.png""/><br/><img alt=""\frac{{2M}}{3}\frac{{\left( {R_2^5 - R_1^5} \right)}}{{\left( {R_2^3 - R_1^3} \right)}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15101169341661745123.png""/><br/><img alt=""\frac{{4M}}{5}\frac{{\left( {R_2^5 - R_1^5} \right)}}{{\left( {R_2^3 - R_1^3} \right)}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15101169401314448420.png""/><br/><img alt=""\frac{{4M}}{3}\frac{{\left( {R_2^5 - R_1^5} \right)}}{{\left( {R_2^3 - R_1^3} \right)}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510116945519104101.png""/>",,"[""moment of inertia""]","<div style=""text-align:justify"">The [NAME]moment of inertia[/NAME] of a hollow thick spherical shell of mass [EXP]M[/EXP] and its inner radius [EXP]R<sub>1</sub>[/EXP] and outer radius [EXP]R<sub>2</sub>[/EXP] about diameter is :</div>
<br/><br/><br/><img alt=""\frac{{2M}}{5}\frac{{\left( {R_2^5 - R_1^5} \right)}}{{\left( {R_2^3 - R_1^3} \right)}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15101169251660471258.png""/><br/><img alt=""\frac{{2M}}{3}\frac{{\left( {R_2^5 - R_1^5} \right)}}{{\left( {R_2^3 - R_1^3} \right)}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15101169341661745123.png""/><br/><img alt=""\frac{{4M}}{5}\frac{{\left( {R_2^5 - R_1^5} \right)}}{{\left( {R_2^3 - R_1^3} \right)}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15101169401314448420.png""/><br/><img alt=""\frac{{4M}}{3}\frac{{\left( {R_2^5 - R_1^5} \right)}}{{\left( {R_2^3 - R_1^3} \right)}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1510116945519104101.png""/>"
" CH<sub>3</sub> – CH<sub>2</sub> – CH<sub>2</sub> – CHO and CH<sub>3</sub> – CH – CH<sub>3</sub> are in fact ......... isomers :<br/><div style=""margin-left: 240px;""> |<br/>CHO<br/></div><br/><br/><br/>Position<br/>Metamers<br/>Chain<br/>None",4748,0,,False,False,"<div>[EXP]CH<sub>3</sub> – CH<sub>2</sub> – CH<sub>2</sub> – CHO [/EXP] and [EXP] CH<sub>3</sub> – CH – CH<sub>3</sub> [/EXP] are in fact ..........isomers :<br/><div style=""margin-left: 240px;""> |<br/>[EXP]CHO[/EXP]<br/></div><br/><br/><br/>Position<br/>Metamers<br/>Chain<br/>None</div>","<div>[EXP]CH<sub>3</sub> – CH<sub>2</sub> – CH<sub>2</sub> – CHO [/EXP] and [EXP] CH<sub>3</sub> – CH – CH<sub>3</sub> [/EXP] are in fact ..........isomers :<br/><div style=""margin-left: 240px;""> |<br/>[EXP]CHO[/EXP]<br/></div><br/><br/><br/>Position<br/>Metamers<br/>Chain<br/>None</div>","[""CHOPositionMetamersChainNone""]","<div>[EXP]CH<sub>3</sub> – CH<sub>2</sub> – CH<sub>2</sub> – CHO [/EXP] and [EXP] CH<sub>3</sub> – CH – CH<sub>3</sub> [/EXP] are in fact ..........isomers :<br/><div style=""margin-left: 240px;""> |<br/>[EXP]CHO[/EXP]<br/></div><br/><br/><br/>Position<br/>Metamers<br/>Chain<br/>None</div>"
"<div style=""text-align:justify"">A gas expands from a volume of 3dm<sup>3</sup> to 30dm<sup>3</sup> against a constant pressure of 7 bar at initially 27ºC. The work done during expansion is used to heat, 50 moles of water. Calculate rise in temperature (K) of water (Take specific heat capacity of H<sub>2</sub>O is 4.2 J/gram.K &amp; 1 litre bar = 100 J) </div>
<br/><br/>",3347,0,,False,False,"<div style=""text-align:justify"">A gas expands from a volume of [EXP]3dm<sup>3</sup>[/EXP] to [EXP]30dm<sup>3</sup>[/EXP] against a constant pressure of [EXP]7 bar[/EXP] at initially [EXP]27ºC[/EXP]. The work done during expansion is used to heat, [EXP]50 moles[/EXP] of water. Calculate rise in temperature [EXP](K)[/EXP] of water (Take specific heat capacity of [EXP]H<sub>2</sub>O[/EXP] is [EXP]4.2 J/gram.K[/EXP] &amp; [EXP]1 litre bar = 100 J[/EXP]) </div>
<br/><br/>",,"[""H2O""]","<div style=""text-align:justify"">A gas expands from a volume of [EXP]3dm<sup>3</sup>[/EXP] to [EXP]30dm<sup>3</sup>[/EXP] against a constant pressure of [EXP]7 bar[/EXP] at initially [EXP]27ºC[/EXP]. The work done during expansion is used to heat, [EXP]50 moles[/EXP] of water. Calculate rise in temperature [EXP](K)[/EXP] of water (Take specific heat capacity of [EXP]H<sub>2</sub>O[/EXP] is [EXP]4.2 J/gram.K[/EXP] &amp; [EXP]1 litre bar = 100 J[/EXP]) </div>
<br/><br/>"
" <div align=""justify"">Two blocks m<sub>1</sub> &amp; m<sub>2</sub> are kept on a smooth horizontal table as shown in figure. A force F is applied on
mass m<sub>1</sub> at an angle θ. Normal reaction between ground and m<sub>1</sub> is N<sub>1</sub> ground &amp; m<sub>2</sub> is N<sub>2</sub> &amp; between
two blocks is N<sub>3</sub>. Coefficient of friction between blocks is m and mass m<sub>1</sub> = m<sub>2</sub>. Then<br/></div><div align=""center""><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image041305362031.png"" style=""vertical-align: middle""/><br/></div><br/><br/><br/><div align=""justify"">If N<sub>1</sub> = 0 and μ = 1; F is minimum at θ = tan<sup>–1</sup>(2) for no relative motion between two blocks</div><br/>If μ = 0 and N<sub>1</sub> = 0 then m<sub>2</sub> will be static<br/>There is no possible value of F for which N<sub>2</sub> is zero, if μ ≠ 0<br/>For N<sub>1</sub> = 0, N<sub>3</sub> can never be zero",4428,0,,False,False,"<div align=""justify"">Two blocks [EXP]m<sub>1</sub>[/EXP] & [EXP]m<sub>2</sub>[/EXP] are kept on a smooth horizontal table as shown in figure. A force [EXP]F[/EXP] is applied on
mass [EXP]m<sub>1</sub>[/EXP] at an angle [EXP]θ[/EXP]. Normal reaction between ground and [EXP]m<sub>1</sub>[/EXP] is [EXP]N<sub>1</sub>[/EXP] ground & [EXP]m<sub>2</sub>[/EXP] is [EXP]N<sub>2</sub>[/EXP] & between
two blocks is [EXP]N<sub>3</sub>[/EXP]. Coefficient of friction between blocks is [EXP]μ[/EXP] and mass [EXP]m<sub>1</sub> = m<sub>2</sub>[/EXP]. Then<br/></div><div align=""center""><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image041305362031.png"" style=""vertical-align: middle""/><br/></div><br/><br/><br/><div align=""justify"">If [EXP]N<sub>1</sub>= 0 [/EXP]  and [EXP]μ = 1[/EXP]; [EXP]F[/EXP] is minimum at [EXP]θ = tan<sup>–1</sup>(2) [/EXP] for no relative motion between two blocks</div><br/>If [EXP]μ = 0 [/EXP] and [EXP]N<sub>1</sub> = 0 [/EXP] then [EXP]m<sub>2</sub>[/EXP] will be static<br/>There is no possible value of [EXP]F[/EXP] for which [EXP]N<sub>2</sub>[/EXP] is zero, if [EXP]μ ≠ 0[/EXP]<br/>For [EXP]N<sub>1</sub>= 0[/EXP] , [EXP]N<sub>3</sub>[/EXP] can never be zero","<div align=""justify"">Two blocks [EXP]m<sub>1</sub>[/EXP] & [EXP]m<sub>2</sub>[/EXP] are kept on a smooth horizontal table as shown in figure. A force [EXP]F[/EXP] is applied on
mass [EXP]m<sub>1</sub>[/EXP] at an angle [EXP]θ[/EXP]. Normal reaction between ground and [EXP]m<sub>1</sub>[/EXP] is [EXP]N<sub>1</sub>[/EXP] ground & [EXP]m<sub>2</sub>[/EXP] is [EXP]N<sub>2</sub>[/EXP] & between
two blocks is [EXP]N<sub>3</sub>[/EXP]. Coefficient of friction between blocks is [EXP]μ[/EXP] and mass [EXP]m<sub>1</sub> = m<sub>2</sub>[/EXP]. Then<br/></div><div align=""center""><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image041305362031.png"" style=""vertical-align: middle""/><br/></div><br/><br/><br/><div align=""justify"">If [EXP]N<sub>1</sub>= 0 [/EXP]  and [EXP]μ = 1[/EXP]; [EXP]F[/EXP] is minimum at [EXP]θ = tan<sup>–1</sup>(2) [/EXP] for no relative motion between two blocks</div><br/>If [EXP]μ = 0 [/EXP] and [EXP]N<sub>1</sub> = 0 [/EXP] then [EXP]m<sub>2</sub>[/EXP] will be static<br/>There is no possible value of [EXP]F[/EXP] for which [EXP]N<sub>2</sub>[/EXP] is zero, if [EXP]μ ≠ 0[/EXP]<br/>For [EXP]N<sub>1</sub>= 0[/EXP] , [EXP]N<sub>3</sub>[/EXP] can never be zero","[""m1"", ""m2""]","<div align=""justify"">Two blocks [EXP]m<sub>1</sub>[/EXP] & [EXP]m<sub>2</sub>[/EXP] are kept on a smooth horizontal table as shown in figure. A force [EXP]F[/EXP] is applied on
mass [EXP]m<sub>1</sub>[/EXP] at an angle [EXP]θ[/EXP]. Normal reaction between ground and [EXP]m<sub>1</sub>[/EXP] is [EXP]N<sub>1</sub>[/EXP] ground & [EXP]m<sub>2</sub>[/EXP] is [EXP]N<sub>2</sub>[/EXP] & between
two blocks is [EXP]N<sub>3</sub>[/EXP]. Coefficient of friction between blocks is [EXP]μ[/EXP] and mass [EXP]m<sub>1</sub> = m<sub>2</sub>[/EXP]. Then<br/></div><div align=""center""><img alt=""Image not present"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/ported_image041305362031.png"" style=""vertical-align: middle""/><br/></div><br/><br/><br/><div align=""justify"">If [EXP]N<sub>1</sub>= 0 [/EXP]  and [EXP]μ = 1[/EXP]; [EXP]F[/EXP] is minimum at [EXP]θ = tan<sup>–1</sup>(2) [/EXP] for no relative motion between two blocks</div><br/>If [EXP]μ = 0 [/EXP] and [EXP]N<sub>1</sub> = 0 [/EXP] then [EXP]m<sub>2</sub>[/EXP] will be static<br/>There is no possible value of [EXP]F[/EXP] for which [EXP]N<sub>2</sub>[/EXP] is zero, if [EXP]μ ≠ 0[/EXP]<br/>For [EXP]N<sub>1</sub>= 0[/EXP] , [EXP]N<sub>3</sub>[/EXP] can never be zero"
"<div style=""text-align:justify"">A uniform disc has radius R. If a concentric smaller disc of radius x is removed from the bigger disc then radius of gyration of the remaining disc about an axis passing through centre and perpendicular to plane of disc varies with x, according to the graph  :-</div>
<br/><br/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507958259phpKqr2RGimage.png"" style=""width:200px""/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507958278php9XZRfximage.png"" style=""width:200px""/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507958308phpvZoEKaimage.png"" style=""width:200px""/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507958328php6LiTF3image.png"" style=""width:200px""/>",2843,0,,False,False,"<div style=""text-align:justify"">A uniform disc has radius [EXP]R[/EXP]. If a concentric smaller disc of radius [EXP]x[/EXP] is removed from the bigger disc then radius of gyration of the remaining disc about an axis passing through centre and perpendicular to plane of disc varies with [EXP]x[/EXP], according to the graph  :-</div>
<br/><br/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507958259phpKqr2RGimage.png"" style=""width:200px""/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507958278php9XZRfximage.png"" style=""width:200px""/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507958308phpvZoEKaimage.png"" style=""width:200px""/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507958328php6LiTF3image.png"" style=""width:200px""/>",,"[""R""]","<div style=""text-align:justify"">A uniform disc has radius [EXP]R[/EXP]. If a concentric smaller disc of radius [EXP]x[/EXP] is removed from the bigger disc then radius of gyration of the remaining disc about an axis passing through centre and perpendicular to plane of disc varies with [EXP]x[/EXP], according to the graph  :-</div>
<br/><br/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507958259phpKqr2RGimage.png"" style=""width:200px""/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507958278php9XZRfximage.png"" style=""width:200px""/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507958308phpvZoEKaimage.png"" style=""width:200px""/><br/><img src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507958328php6LiTF3image.png"" style=""width:200px""/>"
"<div style=""text-align:justify"">A cricket ball of mass 160 g is moving horizontally directly towards a batsman. Its speed just before it hits the bat is 30 m/s. It leaves the bat at 40 m/s at 90° to its original direction. Find the magnitude of the impulse (in N-s) imparted to the ball.</div>
<br/><br/>",3148,0,,False,False,"<div style=""text-align:justify"">A cricket ball of mass [EXP]160 g[/EXP] is moving horizontally directly towards a batsman. Its speed just before it hits the bat is [EXP]30 m/s[/EXP]. It leaves the bat at [EXP]40 m/s[/EXP] at [EXP]90°[/EXP] to its original direction. Find the magnitude of the impulse (in [EXP]N-s[/EXP]) imparted to the ball.</div>
<br/><br/>",,"[""N""]","<div style=""text-align:justify"">A cricket ball of mass [EXP]160 g[/EXP] is moving horizontally directly towards a batsman. Its speed just before it hits the bat is [EXP]30 m/s[/EXP]. It leaves the bat at [EXP]40 m/s[/EXP] at [EXP]90°[/EXP] to its original direction. Find the magnitude of the impulse (in [EXP]N-s[/EXP]) imparted to the ball.</div>
<br/><br/>"
"Velocity with which the particle strikes the inclined roof :-<br/><br/><br/>5m/s<br/><!--StartFragment --><img alt=""\frac{{15}}{2}m/s"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1502107168d98zN87HVX.png""/> <!--EndFragment --><br/><!--StartFragment --><img alt=""\frac{7}{2}m/s"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1502107168XcfVJFNNmV.png""/> <!--EndFragment --><br/><!--StartFragment --><img alt=""\frac{5}{2}m/s"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1502107168s7sGQTDooA.png""/> <!--EndFragment -->",1475,0,,False,False,"Velocity with which the particle strikes the inclined roof :-<br/><br/><br/>[EXP]5m/s[/EXP]<br/><!--StartFragment --><img alt=""\frac{{15}}{2}m/s"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1502107168d98zN87HVX.png""/> <!--EndFragment --><br/><!--StartFragment --><img alt=""\frac{7}{2}m/s"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1502107168XcfVJFNNmV.png""/> <!--EndFragment --><br/><!--StartFragment --><img alt=""\frac{5}{2}m/s"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1502107168s7sGQTDooA.png""/> <!--EndFragment -->",,"[""velocity""]","[NAME]Velocity[/NAME] with which the particle strikes the inclined roof :-<br/><br/><br/>[EXP]5m/s[/EXP]<br/><!--StartFragment --><img alt=""\frac{{15}}{2}m/s"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1502107168d98zN87HVX.png""/> <!--EndFragment --><br/><!--StartFragment --><img alt=""\frac{7}{2}m/s"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1502107168XcfVJFNNmV.png""/> <!--EndFragment --><br/><!--StartFragment --><img alt=""\frac{5}{2}m/s"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1502107168s7sGQTDooA.png""/> <!--EndFragment -->"
"<div style=""text-align:justify"">Identify, which of the following functions represents simple harmonic motion</div>
<br/><br/><br/>y = ae<sup>–ωt</sup><br/>y = a sin (ωt)<sup>2</sup><br/>y = a sin ωt + b cos ωt<br/>y = sin ωt + cos 2ωt",1384,0,,False,False,"<div style=""text-align:justify"">Identify, which of the following functions represents simple harmonic motion</div>
<br/><br/><br/>[EXP]y = ae<sup>–ωt</sup>[/EXP]<br/>[EXP]y = a sin (ωt)<sup>2</sup>[/EXP]<br/>[EXP]y = a sin ωt + b cos ωt[/EXP]<br/>[EXP]y = sin ωt + cos 2ωt[/EXP]",,"[""simple harmonic motion""]","<div style=""text-align:justify"">Identify, which of the following functions represents [NAME]simple harmonic motion[/NAME]</div>
<br/><br/><br/>[EXP]y = ae<sup>–ωt</sup>[/EXP]<br/>[EXP]y = a sin (ωt)<sup>2</sup>[/EXP]<br/>[EXP]y = a sin ωt + b cos ωt[/EXP]<br/>[EXP]y = sin ωt + cos 2ωt[/EXP]"
"<div style=""text-align:justify"">A flag is hoisted on the steamer. On the basis of the velocities given below:<br/>
Relative velocity of steamer w.r.t. water is <img alt=""{\vec V_{steamer/water}} = 10\sqrt 3 \,m{s^{ - 1}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15077885121887960992.png""/> towards North<br/>
Velocity of water is <img alt=""{\vec V_{water}} = 5\,\,m{s^{ - 1}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507788549824572647.png""/> towards East<br/>
Velocity of wind is <img alt=""{\vec V_{wind}} = 5\,\,m{s^{ - 1}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15077885981280233374.png""/> towards East<br/>
Find out the direction of fluttering of the flag.</div>
<br/><br/><br/>North<br/>South<br/>East<br/>West",2752,0,,False,False,"<div style=""text-align:justify"">A flag is hoisted on the steamer. On the basis of the velocities given below:<br/>
Relative velocity of steamer w.r.t. water is <img alt=""{\vec V_{steamer/water}} = 10\sqrt 3 \,m{s^{ - 1}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15077885121887960992.png""/> towards North<br/>
Velocity of water is <img alt=""{\vec V_{water}} = 5\,\,m{s^{ - 1}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507788549824572647.png""/>towards East<br/>
Velocity of wind is <img alt=""{\vec V_{wind}} = 5\,\,m{s^{ - 1}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15077885981280233374.png""/>towards East<br/>
Find out the direction of fluttering of the flag.</div>
<br/><br/><br/>North<br/>South<br/>East<br/>West","<div style=""text-align:justify"">A flag is hoisted on the steamer. On the basis of the velocities given below:<br/>
Relative velocity of steamer w.r.t. water is <img alt=""{\vec V_{steamer/water}} = 10\sqrt 3 \,m{s^{ - 1}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15077885121887960992.png""/> towards North<br/>
Velocity of water is <img alt=""{\vec V_{water}} = 5\,\,m{s^{ - 1}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507788549824572647.png""/>towards East<br/>
Velocity of wind is <img alt=""{\vec V_{wind}} = 5\,\,m{s^{ - 1}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15077885981280233374.png""/>towards East<br/>
Find out the direction of fluttering of the flag.</div>
<br/><br/><br/>North<br/>South<br/>East<br/>West","[""North"", ""East""]","<div style=""text-align:justify"">A flag is hoisted on the steamer. On the basis of the velocities given below:<br/>
Relative velocity of steamer w.r.t. water is <img alt=""{\vec V_{steamer/water}} = 10\sqrt 3 \,m{s^{ - 1}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15077885121887960992.png""/> towards [NAME]North[/NAME]<br/>
Velocity of water is <img alt=""{\vec V_{water}} = 5\,\,m{s^{ - 1}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/1507788549824572647.png""/>towards [NAME]East[/NAME]<br/>
Velocity of wind is <img alt=""{\vec V_{wind}} = 5\,\,m{s^{ - 1}}"" src=""https://s3-ap-south-1.amazonaws.com/question-bank-allen/content_data/content_images/15077885981280233374.png""/>towards [NAME]East[/NAME]<br/>
Find out the direction of fluttering of the flag.</div>
<br/><br/><br/>[NAME]North[/NAME]<br/>South<br/>[NAME]East[/NAME]<br/>West"
